"STATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08","WT13","WT14","WT16","WT18","WT19","WT22"
"USW00094728","2014-12-16","3.80",,"0.20","0.0","0.0",,"49","38",,"  110","  150","12.1","14.1","    1",,,,,"    1",,,,,,
"USW00094728","2014-12-17","5.82",,"0.02","0.0","0.0",,"54","42",,"  280","  290","16.1","25.9","    1",,,,,,,,,,,
"USW00094728","2014-12-18","8.72",,"0.00","0.0","0.0",,"42","37",,"  290","  300","16.1","29.1",,,,,,,,,,,,
"USW00094728","2014-12-19","7.16",,"0.00","0.0","0.0",,"38","31",,"  300","  310","14.1","23.9",,,,,,,,,,,,
"USW00094728","2014-12-20","4.92",,"0.00","0.0","0.0",,"33","30",,"   40","   60","12.1","15.0",,,,,,,,,,,,
"USW00094728","2014-12-21","4.92",,"0.00","0.0","0.0",,"36","31",,"   10","   10","8.9","13.0",,,,,,"    1",,,,,,
"USW00094728","2014-12-22","6.04",,"0.04","0.0","0.0",,"44","35",,"   70","   40","12.1","16.1","    1",,,,,"    1",,,,,,
"USW00094728","2014-12-23","8.28",,"0.16","0.0","0.0",,"46","43",,"   70","   80","17.0","25.9","    1",,,,,,,,,,,
"USW00094728","2014-12-24","5.82",,"0.80","0.0","0.0",,"58","44",,"   70","  180","12.1","17.0","    1",,,,,,,,,,,
"USW00094728","2014-12-25","9.62",,"0.09","0.0","0.0",,"62","44",,"  290","  300","19.9","32.0","    1",,,,,,,,,,,
"USW00094728","2014-12-26","5.82",,"0.00","0.0","0.0",,"50","40",,"  290","  250","13.0","18.1",,,,,,,,,,,,
"USW00094728","2014-12-27","4.47",,"0.00","0.0","0.0",,"55","44",,"  240","  250","14.1","25.1",,,,,,,,,,,,
"USW00094728","2014-12-28","5.82",,"0.10","0.0","0.0",,"54","43",,"  240","  250","15.0","21.9","    1",,,,,"    1",,,,,,
"USW00094728","2014-12-29","5.14",,"0.00","0.0","0.0",,"44","34",,"  310","  320","15.0","25.1",,,,,,,,,,,,
"USW00094728","2014-12-30","4.25",,"0.00","0.0","0.0",,"34","28",,"   10","  300","10.1","17.0",,,,,,,,,,,,
"USW00094728","2014-12-31","5.59",,"0.00","0.0","0.0",,"32","27",,"  280","  280","14.1","21.0",,,,,,,,,,,,
"USW00094728","2015-01-01","7.16",,"0.00","0.0","0.0",,"39","27",,"  260","  250","17.0","31.1",,,,,,,,,,,,
"USW00094728","2015-01-02","7.16",,"0.00","0.0","0.0",,"42","35",,"  260","  310","15.0","25.1",,,,,,,,,,,,
"USW00094728","2015-01-03","6.49",,"0.71","0.0","0.0",,"42","33",,"   80","   70","12.1","18.1","    1",,,,,"    1",,,,,,
"USW00094728","2015-01-04","6.49",,"0.30","0.0","0.0",,"56","41",,"  280","  260","29.1","46.1","    1",,,,,,,,,,,
"USW00094728","2015-01-05","10.51",,"0.00","0.0","0.0",,"49","21",,"  280","  300","23.9","38.0",,,,,,,,,,,,
"USW00094728","2015-01-06","4.03",,"0.05","1.0","0.0",,"22","19",,"  320","  280","14.1","23.9",,,,,,"    1",,,,,,
"USW00094728","2015-01-07","12.75",,"0.00","0.0","1.2",,"23","9",,"  310","  300","21.9","38.9",,,,,,,,,,,,
"USW00094728","2015-01-08","8.72",,"0.00","0.0","0.0",,"21","8",,"  310","  310","18.1","31.1",,,,,,,,,,,,
"USW00094728","2015-01-09","8.72",,"0.07","1.5","0.0",,"33","19",,"  280","  290","21.0","30.0",,,,,,"    1",,,,,,
"USW00094728","2015-01-10","8.05",,"0.00","0.0","1.2",,"23","16",,"  250","  230","18.1","25.1",,,,,,,,,,,,
"USW00094728","2015-01-11","6.04",,"0.00","0.0","1.2",,"37","18",,"  230","  250","14.1","23.9",,,,,,,,,,,,
"USW00094728","2015-01-12","3.80",,"0.36","0.0","0.0",,"39","35",,"  260","  260","12.1","19.9","    1",,,"    1",,,,,,,,
"USW00094728","2015-01-13","8.50",,"0.00","0.0","0.0",,"36","17",,"   30","   40","18.1","25.1",,,,,,,,,,,,
"USW00094728","2015-01-14","6.26",,"0.00","0.0","0.0",,"32","16",,"   70","   80","14.1","17.0",,,,,,,,,,,,
"USW00094728","2015-01-15","4.70",,"0.00","0.0","0.0",,"35","25",,"  250","  290","15.0","19.9",,,,,,,,,,,,
"USW00094728","2015-01-16","9.84",,"0.00","0.0","0.0",,"43","20",,"  310","  320","21.0","32.0",,,,,,"    1",,,,,,
"USW00094728","2015-01-17","6.04",,"0.00","0.0","0.0",,"32","17",,"  310","  190","14.1","23.0",,,,,,,,,,,,
"USW00094728","2015-01-18","3.80",,"2.10","0.0","0.0",,"42","31",,"  270","  210","10.1","19.9","    1","    1",,,,,,,,,,
"USW00094728","2015-01-19","7.61",,"0.00","0.0","0.0",,"42","36",,"  290","  270","16.1","33.1",,,,,,,,,,,,
"USW00094728","2015-01-20","5.82",,"0.00","0.0","0.0",,"40","32",,"  290","  280","13.0","19.9",,,,,,,,,,,,
"USW00094728","2015-01-21","4.25",,"0.00","0.0","0.0",,"36","25",,"  350","   20","10.1","15.0",,,,,,,,,,,,
"USW00094728","2015-01-22","5.59",,"0.00","0.0","0.0",,"40","31",,"  310","  300","14.1","21.9",,,,,,"    1",,,,,,
"USW00094728","2015-01-23","5.59",,"0.00","0.0","0.0",,"39","28",,"  250","  250","14.1","19.0",,,,,,,,,,,,
"USW00094728","2015-01-24","6.04",,"0.72","3.6","3.1",,"39","33",,"  290","  290","14.1","23.9","    1",,,,,"    1",,,,,,
"USW00094728","2015-01-25","6.26",,"0.00","0.0","2.0",,"42","31",,"  250","  260","17.0","30.0",,,,,,,,,,,,
"USW00094728","2015-01-26","12.75",,"0.48","5.5","2.0",,"31","22",,"   60","   50","23.0","34.0","    1","    1",,,,"    1",,,,,,
"USW00094728","2015-01-27","8.28",,"0.36","4.3","7.9",,"30","20",,"   10","  330","17.0","30.0","    1","    1",,,,"    1",,,,,,
